"","study","variable","subsample","percentage","n","comment","value","mean","sd","median","moment","minimum","maximum","qualitative","size","recruitmentSetting","year","startyear","endyear","geography","descent","samplingMethod","samplingAselect","dependent","datatype","specifiesSubsample","frequency","depVarValue","depVarName"
"185","May2005.r","Smoking before","Case mothers","25",53,"Extracted from Table 3, page 1195",4,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,13.25,1,"FAS diagnosis"
"186","May2005.r","Smoking before","Control mothers","70.4",109,"Extracted from Table 3, page 1195",4,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,76.736,0,"FAS diagnosis"
"187","May2005.r","Smoking before","Case mothers","0",53,"Extracted from Table 3, page 1195",5,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,0,1,"FAS diagnosis"
"188","May2005.r","Smoking before","Control mothers","0",109,"Extracted from Table 3, page 1195",5,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,0,0,"FAS diagnosis"
"189","May2005.r","Smoking during","Case mothers","75.5",53,"Extracted from Table 3, page 1195",1,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,40.015,1,"FAS diagnosis"
"190","May2005.r","Smoking during","Control mothers","30.3",109,"Extracted from Table 3, page 1195",1,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,33.027,0,"FAS diagnosis"
"191","May2005.r","Alcohol consumption: during first trimester","Case mothers","54.7",53,"Extracted from Table 3, page 1194",1,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,28.991,1,"FAS diagnosis"
"192","May2005.r","Alcohol consumption: during first trimester","Control mothers","11.7",109,"Extracted from Table 3, page 1194",1,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,12.753,0,"FAS diagnosis"
"193","May2005.r","Alcohol consumption: during first trimester","Case mothers","5.7",53,"Extracted from Table 3, page 1194",2,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,3.021,1,"FAS diagnosis"
"194","May2005.r","Alcohol consumption: during first trimester","Control mothers","3.6",109,"Extracted from Table 3, page 1194",2,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,3.924,0,"FAS diagnosis"
"195","May2005.r","Alcohol consumption: during first trimester","Case mothers","32.1",53,"Extracted from Table 3, page 1194",3,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,17.013,1,"FAS diagnosis"
"196","May2005.r","Alcohol consumption: during first trimester","Control mothers","4.5",109,"Extracted from Table 3, page 1194",3,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,4.905,0,"FAS diagnosis"
"197","May2005.r","Alcohol consumption: during first trimester","Case mothers","7.5",53,"Extracted from Table 3, page 1194",4,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,3.975,1,"FAS diagnosis"
"198","May2005.r","Alcohol consumption: during first trimester","Control mothers","78.4",109,"Extracted from Table 3, page 1194",4,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,85.456,0,"FAS diagnosis"
"199","May2005.r","Alcohol consumption: during first trimester","Case mothers","0",53,"Extracted from Table 3, page 1194",5,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,0,1,"FAS diagnosis"
"200","May2005.r","Alcohol consumption: during first trimester","Control mothers","1.8",109,"Extracted from Table 3, page 1194",5,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,1.962,0,"FAS diagnosis"
"201","May2005.r","Smoking during first trimester","Case mothers","58.5",53,"Extracted from Table 3, page 1195",1,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,31.005,1,"FAS diagnosis"
"202","May2005.r","Smoking during first trimester","Control mothers","14.8",109,"Extracted from Table 3, page 1195",1,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,16.132,0,"FAS diagnosis"
"203","May2005.r","Smoking during first trimester","Case mothers","13.2",53,"Extracted from Table 3, page 1195",2,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,6.996,1,"FAS diagnosis"
"204","May2005.r","Smoking during first trimester","Control mothers","10.2",109,"Extracted from Table 3, page 1195",2,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,11.118,0,"FAS diagnosis"
"205","May2005.r","Smoking during first trimester","Case mothers","5.7",53,"Extracted from Table 3, page 1195",3,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,3.021,1,"FAS diagnosis"
"206","May2005.r","Smoking during first trimester","Control mothers","2.8",109,"Extracted from Table 3, page 1195",3,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,3.052,0,"FAS diagnosis"
"207","May2005.r","Smoking during first trimester","Case mothers","22.6",53,"Extracted from Table 3, page 1195",4,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,11.978,1,"FAS diagnosis"
"208","May2005.r","Smoking during first trimester","Control mothers","71.3",109,"Extracted from Table 3, page 1195",4,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,77.717,0,"FAS diagnosis"
"209","May2005.r","Smoking during first trimester","Case mothers","0",53,"Extracted from Table 3, page 1195",5,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,0,1,"FAS diagnosis"
"210","May2005.r","Smoking during first trimester","Control mothers","0.9",109,"Extracted from Table 3, page 1195",5,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,0.981,0,"FAS diagnosis"
"211","May2005.r","Alcohol consumption: during second trimester","Case mothers","52.8",53,"Extracted from Table 3, page 1194",1,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,27.984,1,"FAS diagnosis"
"212","May2005.r","Alcohol consumption: during second trimester","Control mothers","8.1",109,"Extracted from Table 3, page 1194",1,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,8.829,0,"FAS diagnosis"
"213","May2005.r","Alcohol consumption: during second trimester","Case mothers","5.7",53,"Extracted from Table 3, page 1194",2,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,3.021,1,"FAS diagnosis"
"214","May2005.r","Alcohol consumption: during second trimester","Control mothers","2.7",109,"Extracted from Table 3, page 1194",2,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,2.943,0,"FAS diagnosis"
"215","May2005.r","Alcohol consumption: during second trimester","Case mothers","34",53,"Extracted from Table 3, page 1194",3,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,18.02,1,"FAS diagnosis"
"216","May2005.r","Alcohol consumption: during second trimester","Control mothers","2.7",109,"Extracted from Table 3, page 1194",3,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,2.943,0,"FAS diagnosis"
"217","May2005.r","Alcohol consumption: during second trimester","Case mothers","7.5",53,"Extracted from Table 3, page 1194",4,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,3.975,1,"FAS diagnosis"
"218","May2005.r","Alcohol consumption: during second trimester","Control mothers","80.2",109,"Extracted from Table 3, page 1194",4,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,87.418,0,"FAS diagnosis"
"219","May2005.r","Alcohol consumption: during second trimester","Case mothers","0",53,"Extracted from Table 3, page 1194",5,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,0,1,"FAS diagnosis"
"220","May2005.r","Alcohol consumption: during second trimester","Control mothers","6.3",109,"Extracted from Table 3, page 1194",5,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,6.867,0,"FAS diagnosis"
"221","May2005.r","Smoking during second trimester","Case mothers","62.3",53,"Extracted from Table 3, page 1195",1,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,33.019,1,"FAS diagnosis"
"222","May2005.r","Smoking during second trimester","Control mothers","13.5",109,"Extracted from Table 3, page 1195",1,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,14.715,0,"FAS diagnosis"
"223","May2005.r","Smoking during second trimester","Case mothers","9.4",53,"Extracted from Table 3, page 1195",2,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,4.982,1,"FAS diagnosis"
"224","May2005.r","Smoking during second trimester","Control mothers","9",109,"Extracted from Table 3, page 1195",2,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,9.81,0,"FAS diagnosis"
"225","May2005.r","Smoking during second trimester","Case mothers","5.7",53,"Extracted from Table 3, page 1195",3,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,3.021,1,"FAS diagnosis"
"226","May2005.r","Smoking during second trimester","Control mothers","3.6",109,"Extracted from Table 3, page 1195",3,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,3.924,0,"FAS diagnosis"
"227","May2005.r","Smoking during second trimester","Case mothers","22.6",53,"Extracted from Table 3, page 1195",4,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,11.978,1,"FAS diagnosis"
"228","May2005.r","Smoking during second trimester","Control mothers","72.1",109,"Extracted from Table 3, page 1195",4,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,78.589,0,"FAS diagnosis"
"229","May2005.r","Smoking during second trimester","Case mothers","0",53,"Extracted from Table 3, page 1195",5,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,0,1,"FAS diagnosis"
"230","May2005.r","Smoking during second trimester","Control mothers","1.8",109,"Extracted from Table 3, page 1195",5,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,1.962,0,"FAS diagnosis"
"231","May2005.r","Alcohol consumption: during third trimester","Case mothers","54.7",53,"Extracted from Table 3, page 1194",1,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,28.991,1,"FAS diagnosis"
"232","May2005.r","Alcohol consumption: during third trimester","Control mothers","5.5",109,"Extracted from Table 3, page 1194",1,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,5.995,0,"FAS diagnosis"
"233","May2005.r","Alcohol consumption: during third trimester","Case mothers","1.9",53,"Extracted from Table 3, page 1194",2,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,1.007,1,"FAS diagnosis"
"234","May2005.r","Alcohol consumption: during third trimester","Control mothers","5.5",109,"Extracted from Table 3, page 1194",2,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,5.995,0,"FAS diagnosis"
"235","May2005.r","Alcohol consumption: during third trimester","Case mothers","32.1",53,"Extracted from Table 3, page 1194",3,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,17.013,1,"FAS diagnosis"
"236","May2005.r","Alcohol consumption: during third trimester","Control mothers","1.8",109,"Extracted from Table 3, page 1194",3,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,1.962,0,"FAS diagnosis"
"237","May2005.r","Alcohol consumption: during third trimester","Case mothers","7.5",53,"Extracted from Table 3, page 1194",4,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,3.975,1,"FAS diagnosis"
"238","May2005.r","Alcohol consumption: during third trimester","Control mothers","85.5",109,"Extracted from Table 3, page 1194",4,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,93.195,0,"FAS diagnosis"
"239","May2005.r","Alcohol consumption: during third trimester","Case mothers","3.8",53,"Extracted from Table 3, page 1194",5,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,2.014,1,"FAS diagnosis"
"240","May2005.r","Alcohol consumption: during third trimester","Control mothers","1.8",109,"Extracted from Table 3, page 1194",5,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,1.962,0,"FAS diagnosis"
"241","May2005.r","Smoking during third trimester","Case mothers","64.7",53,"Extracted from Table 3, page 1195",1,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,34.291,1,"FAS diagnosis"
"242","May2005.r","Smoking during third trimester","Control mothers","12.6",109,"Extracted from Table 3, page 1195",1,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,13.734,0,"FAS diagnosis"
"243","May2005.r","Smoking during third trimester","Case mothers","7.8",53,"Extracted from Table 3, page 1195",2,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,4.134,1,"FAS diagnosis"
"244","May2005.r","Smoking during third trimester","Control mothers","9",109,"Extracted from Table 3, page 1195",2,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,9.81,0,"FAS diagnosis"
"245","May2005.r","Smoking during third trimester","Case mothers","3.9",53,"Extracted from Table 3, page 1195",3,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,2.067,1,"FAS diagnosis"
"246","May2005.r","Smoking during third trimester","Control mothers","3.6",109,"Extracted from Table 3, page 1195",3,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,3.924,0,"FAS diagnosis"
"247","May2005.r","Smoking during third trimester","Case mothers","23.5",53,"Extracted from Table 3, page 1195",4,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,12.455,1,"FAS diagnosis"
"248","May2005.r","Smoking during third trimester","Control mothers","73",109,"Extracted from Table 3, page 1195",4,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,79.57,0,"FAS diagnosis"
"249","May2005.r","Smoking during third trimester","Case mothers","0",53,"Extracted from Table 3, page 1195",5,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,0,1,"FAS diagnosis"
"250","May2005.r","Smoking during third trimester","Control mothers","1.8",109,"Extracted from Table 3, page 1195",5,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"ordinal",FALSE,1.962,0,"FAS diagnosis"
"251","May2005.r","Current drinker and smoker","Case mothers","73.6",53,"Extracted from Table 3, page 1195",1,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,39.008,1,"FAS diagnosis"
"252","May2005.r","Current drinker and smoker","Control mothers","11.2",109,"Extracted from Table 3, page 1195",1,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,12.208,0,"FAS diagnosis"
"253","May2005.r","Alcohol abuse","Case mothers","4",53,"Ever had a problem with alcohol abuse. Extracted from Table 3, page 1194",1,NA,NA,NA,1,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,2.12,1,"FAS diagnosis"
"254","May2005.r","Alcohol abuse","Control mothers","1.9",109,"Ever had a problem with alcohol abuse. Extracted from Table 3, page 1194",1,NA,NA,NA,1,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,2.071,0,"FAS diagnosis"
"255","May2005.r","FAS diagnosis","Case mothers","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,53,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,53,NA,NA
"256","May2005.r","FAS diagnosis","Control mothers","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,116,"school",NA,1999,2001,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,116,NA,NA
"257","May2007a.r","Consumes alcohol: current","Case mothers","61",61,"Consumes alcohol: current last year. Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,61,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,37.21,1,"FASD diagnosis"
"258","May2007a.r","Consumes alcohol: current","Control mothers","26.9",133,"Consumes alcohol: current last year. Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,133,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,35.777,0,"FASD diagnosis"
"259","May2007a.r","Smoking current","Case mothers","75.8",61,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,61,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,46.238,1,"FASD diagnosis"
"260","May2007a.r","Smoking current","Control mothers","35.6",133,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,133,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,47.348,0,"FASD diagnosis"
"261","May2007a.r","Smoking during","Case mothers","83.8",61,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,61,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,51.118,1,"FASD diagnosis"
"262","May2007a.r","Smoking during","Control mothers","35.3",133,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,133,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,46.949,0,"FASD diagnosis"
"263","May2007a.r","Current tobacco use","Case mothers",NA,61,"tobacco use in g per week. Extracted from table 3, page 266",NA,28.9,37.5,NA,1,NA,NA,NA,61,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
"264","May2007a.r","Current tobacco use","Control mothers",NA,133,"tobacco use in g per week. Extracted from table 3, page 266",NA,10.8,19.9,NA,1,NA,NA,NA,133,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"265","May2007a.r","Drinks current a week","Case mothers",NA,61,"Mean number of drinks during past week. Extracted from table 3, page 1569",NA,3.2,7.1,NA,1,NA,NA,NA,61,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
"266","May2007a.r","Drinks current a week","Control mothers",NA,133,"Mean number of drinks during past week. Extracted from table 3, page 1569",NA,1.1,4.2,NA,1,NA,NA,NA,133,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"267","May2007a.r","Drinks current a weekend","Case mothers",NA,61,"Mean number of drinks during weekend. Extracted from table 3, page 1569",NA,3.1,6.8,NA,1,NA,NA,NA,61,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,1,"FASD diagnosis"
"268","May2007a.r","Drinks current a weekend","Control mothers",NA,133,"Mean number of drinks during weekend. Extracted from table 3, page 1569",NA,0.7,3.1,NA,1,NA,NA,NA,133,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,0,"FASD diagnosis"
"269","May2007a.r","Drinking before","Case mothers","92.3",61,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,61,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,56.303,1,"FASD diagnosis"
"270","May2007a.r","Drinking before","Control mothers","25.6",133,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,133,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,34.048,0,"FASD diagnosis"
"271","May2007a.r","Alcohol consumption: during","Case mothers","95.5",61,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,61,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,58.255,1,"FASD diagnosis"
"272","May2007a.r","Alcohol consumption: during","Control mothers","24.2",133,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,133,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,32.186,0,"FASD diagnosis"
"273","May2007a.r","Alcohol consumption: during first trimester","Case mothers","93.9",61,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,61,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,57.279,1,"FASD diagnosis"
"274","May2007a.r","Alcohol consumption: during first trimester","Control mothers","23.3",133,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,133,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,30.989,0,"FASD diagnosis"
"275","May2007a.r","Alcohol consumption: during second trimester","Case mothers","83.6",61,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,61,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,50.996,1,"FASD diagnosis"
"276","May2007a.r","Alcohol consumption: during second trimester","Control mothers","16.5",133,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,133,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,21.945,0,"FASD diagnosis"
"277","May2007a.r","Alcohol consumption: during third trimester","Case mothers","79.1",61,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,61,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,48.251,1,"FASD diagnosis"
"278","May2007a.r","Alcohol consumption: during third trimester","Control mothers","15.8",133,"Extracted from table 3, page 266",1,NA,NA,NA,1,NA,NA,NA,133,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,21.014,0,"FASD diagnosis"
"279","May2007a.r","FASD diagnosis","Case mothers","100",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,61,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,61,NA,NA
"280","May2007a.r","FASD diagnosis","Control mothers","100",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,133,"school",NA,NA,NA,"South Africa","non-native","retrospective",FALSE,TRUE,"logical",TRUE,133,NA,NA
"281","May2008a.r","Consumes alcohol: current","Case mothers FAS","65.9",NA,"extracted from Table 4, page 745",1,NA,NA,NA,NA,NA,NA,NA,49,"school",2002,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,32.291,NA,NA
"282","May2008a.r","Consumes alcohol: current","Case mothers pFAS","46.7",NA,"extracted from Table 4, page 745",1,NA,NA,NA,NA,NA,NA,NA,15,"school",2002,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,7.005,NA,NA
"283","May2008a.r","Consumes alcohol: current","Control mothers","26.7",NA,"extracted from Table 4, page 745",1,NA,NA,NA,NA,NA,NA,NA,133,"school",2002,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"logical",FALSE,35.511,0,NA
"284","May2008a.r","Drinks current a week","Case mothers FAS",NA,NA,"extracted from Table 4, page 745",NA,3.5,7.69,NA,NA,NA,NA,NA,49,"school",2002,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,NA,NA
"285","May2008a.r","Drinks current a week","Case mothers pFAS",NA,NA,"extracted from Table 4, page 745",NA,1.8,3.74,NA,NA,NA,NA,NA,15,"school",2002,NA,NA,"South Africa","non-native","retrospective",FALSE,FALSE,"numeric",FALSE,NA,NA,NA
